id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1265598344421937153,Wed May 27 10:58:53 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @DDAKkenya: Cab rider's #BulldozingThePoor @Ma3Route see how  @uber_kenya  &amp; @Boltapp_ke  riders are frauding cab driver's. #MainaAndKin…,Cab rider 's see amp riders frauding cab driver 's …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,1,Eazycruiz,,BulldozingThePoor,"DDAKkenya, Ma3Route, uber_kenya, Boltapp_ke",Nairobi,
1265597268071153671,Wed May 27 10:54:37 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@agutu_KE @Ma3Route @kot @WinWithStrategy Yes, that I see no benefit in hoarding knowledge or insisting and charging for it.",Yes I see benefit hoarding knowledge insisting charging,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,coachyawe,,,"agutu_KE, Ma3Route, kot, WinWithStrategy",Nairobi,
1265593418098651142,Wed May 27 10:39:19 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@agutu_KE @Ma3Route @kot @WinWithStrategy I wish I had read the book 10 years ago when I started by journey working… https://t.co/eEcVwMbC5s,I wish I read book years ago I started journey working…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,coachyawe,,,"agutu_KE, Ma3Route, kot, WinWithStrategy",Nairobi,
1265584649419534340,Wed May 27 10:04:28 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @KenyanTraffic: Bad accident at the capital centre U-Turn. EMS on the scene. Traffic outbound building up. Kindly drivers let's share th…,Bad accident capital centre U-Turn EMS scene Traffic outbound building Kindly drivers let 's share th…,"Sentiment(polarity=-0.04999999999999993, subjectivity=0.7833333333333333)",-0.04999999999999993,0.7833333333333333,en,0,6,sekise4,,,KenyanTraffic,Nairobi,
1265584214411526145,Wed May 27 10:02:44 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","RT @KenyanTraffic: Head on coalition at Kangundo road
Guys injured.. Avoid route  https://t.co/gFTyvy55Ia via @Enokoh #KenyanTraffic",Head coalition Kangundo road Guys injured .. Avoid route via,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,sekise4,False,KenyanTraffic,"KenyanTraffic, Enokoh",Nairobi,
1265582855629012993,Wed May 27 09:57:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@Ma3Route @itscleotrevor Road test gone wrong.,Road test gone wrong,"Sentiment(polarity=-0.5, subjectivity=0.9)",-0.5,0.9,en,0,0,Nic_ole_kithaka,,,"Ma3Route, itscleotrevor",Nairobi,
1265582595162681344,Wed May 27 09:56:18 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @KenyanTraffic: Don't forget to talk to an expert 0721718424. https://t.co/D6jysgUU6J via @tonnyojwang #KenyanTraffic,Do n't forget talk eert via,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,2,KenyanTraffic,False,KenyanTraffic,"KenyanTraffic, tonnyojwang",Nairobi,
1265582457979654146,Wed May 27 09:55:46 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Ma3Route: 16:00 Seems Nairobi Metropolitan unit is doing complete overhaul of CBD roads. Riveroad looks great now.  https://t.co/ngwlPm…,:00 Seems Nairobi Metropolitan unit complete overhaul CBD roads Riveroad looks great,"Sentiment(polarity=0.45, subjectivity=0.575)",0.45,0.575,en,0,15,MaishJnr,,,Ma3Route,Nairobi,
1265582430964133889,Wed May 27 09:55:39 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",One noble act. Spotted this tuk tuk fitted with a tap. Kongole kwake. #TumalizeKorona @NPSOfficial_KE… https://t.co/IDzImLURhP,One noble act Spotted tuk tuk fitted tap Kongole kwake …,"Sentiment(polarity=0.6, subjectivity=0.9)",0.6,0.9,en,4,2,KenyanTraffic,False,TumalizeKorona,NPSOfficial_KE,Nairobi,
1265582350991339521,Wed May 27 09:55:20 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",The car crash that occurred on the Thika Superhighway claiming benga artiste Wayunis life was triggered by a speedi… https://t.co/4suxWlXs64,The car crash occurred Thika Superhighway claiming benga artiste Wayunis life triggered speedi…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,1,0,KenyanTraffic,False,,,Nairobi,
